year,matching_records,all_MED_records,per_10000,query,numerator_api,denominator_api,retrieved_at
2010,61,824350,0.739976951537575,"SRC:MED AND PUB_YEAR:2010 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2010+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2010&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2011,60,877269,0.6839407296963644,"SRC:MED AND PUB_YEAR:2011 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2011+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2011&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2012,96,943573,1.017409357834529,"SRC:MED AND PUB_YEAR:2012 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2012+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2012&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2013,106,997274,1.062897458471794,"SRC:MED AND PUB_YEAR:2013 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2013+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2013&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2014,141,1045032,1.3492409801805112,"SRC:MED AND PUB_YEAR:2014 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2014+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2014&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2015,196,1090507,1.7973291322293208,"SRC:MED AND PUB_YEAR:2015 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2015+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2015&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2016,252,1117440,2.2551546391752577,"SRC:MED AND PUB_YEAR:2016 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2016+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2016&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2017,281,1128649,2.489702290083099,"SRC:MED AND PUB_YEAR:2017 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2017+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2017&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2018,344,1173557,2.9312594104930567,"SRC:MED AND PUB_YEAR:2018 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2018+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2018&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
2019,461,1230876,3.74530009521674,"SRC:MED AND PUB_YEAR:2019 AND (TITLE_ABS:""emerging contaminant"" OR TITLE_ABS:""emerging contaminants"" OR TITLE_ABS:""emerging pollutant"" OR TITLE_ABS:""emerging pollutants"" OR TITLE_ABS:""contaminant of emerging concern"" OR TITLE_ABS:""contaminants of emerging concern"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2019+AND+%28TITLE_ABS%3A%22emerging+contaminant%22+OR+TITLE_ABS%3A%22emerging+contaminants%22+OR+TITLE_ABS%3A%22emerging+pollutant%22+OR+TITLE_ABS%3A%22emerging+pollutants%22+OR+TITLE_ABS%3A%22contaminant+of+emerging+concern%22+OR+TITLE_ABS%3A%22contaminants+of+emerging+concern%22%29&format=json&pageSize=1&resultType=idlist&synonym=false,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=SRC%3AMED+AND+PUB_YEAR%3A2019&format=json&pageSize=1&resultType=idlist&synonym=false,2026-09-17T08:12:53.670883+00:00
